Latitude (generated),Longitude (generated),start_year,Start_month,Gis Acres,Cause
36.58012085,-118.751437,1980,9,0,Prescribed Burn
36.59971225,-118.7692099,1980,9,1603,Prescribed Burn
36.73597098,-118.6188179,1980,8,420,1
36.74697623,-118.9524246,1980,6,82,Prescribed Burn
36.74788024,-118.9787588,1980,9,26,Prescribed Burn
36.78607576,-118.6193835,1980,9,12,Prescribed Burn
36.78980626,-118.6065684,1980,9,35,Prescribed Burn
36.83102472,-118.664378,1980,9,8327,2
36.83511355,-118.5776054,1980,7,999,1
36.84919586,-118.211514,1980,3,314,14
36.86993433,-119.0019528,1980,7,1830,9
36.88853876,-118.9831476,1980,8,59,9
36.95158804,-119.6813494,1980,8,245,14
36.97504323,-119.3249415,1980,8,292,7
36.9761226,-119.3404888,1980,8,109,7
37.02483327,-119.2048509,1980,12,529,5
37.0554329,-121.5347029,1980,6,139,14
37.08639591,-121.0794249,1980,10,1602,14
37.09909917,-119.4905234,1980,12,15,5
37.16178689,-122.2386886,1980,11,378,14
37.16258807,-119.3624101,1980,9,457,2
37.20465575,-119.7190995,1980,8,277,14
37.20614561,-119.7039105,1980,8,228,14
37.21818701,-119.3576209,1980,10,254,2
37.41043591,-120.4423668,1980,8,170,14
37.41271068,-120.4487697,1980,8,7,14
37.47138649,-121.2501853,1980,7,1830,14
37.49579336,-120.2018817,1980,8,457,14
37.58503936,-120.5226376,1980,6,323,14
37.6576206,-121.6038601,1980,7,521,14
37.68953011,-121.5277614,1980,9,637,14
37.69755381,-120.0472547,1980,7,16,7
37.69786575,-119.5801421,1980,9,243,1
37.71526977,-121.594514,1980,9,254,14
37.71853249,-119.8082897,1980,10,13,7
37.7545413,-119.4508214,1980,10,40,1
37.85888108,-120.7118358,1980,5,168,14
37.98308652,-120.2015616,1980,10,29,7
38.0010728,-122.1538595,1980,8,656,14
38.00533972,-120.1675425,1980,9,41,9
38.01039351,-122.1702339,1980,8,145,14
38.0342316,-122.555082,1980,8,122,14
38.06848561,-120.5128443,1980,8,95,14
38.26744699,-121.0104834,1980,10,621,14
38.29385131,-120.9840513,1980,10,458,14
38.33045171,-122.4280422,1980,10,540,14
38.45553562,-121.0175183,1980,7,848,14
38.50447151,-119.3930752,1980,7,15,1
38.6296115,-122.4293942,1980,9,818,14
38.79295024,-121.2761609,1980,9,236,14
38.94449217,-122.9150942,1980,10,650,14
39.04593494,-122.5271395,1980,9,905,14
39.0530019,-121.3741294,1980,7,337,14
39.10829194,-120.9947001,1980,10,347,14
39.1211672,-121.2650606,1980,6,281,14
39.13858274,-121.2997924,1980,9,265,14
39.17982746,-119.8088349,1980,7,161,4
39.33758709,-121.5023316,1980,10,251,14
39.38174547,-121.0895542,1980,8,24,7
39.48424608,-121.0793265,1980,5,31,9
39.49947388,-120.0029823,1980,8,35,3
39.51854269,-122.7931301,1980,4,20,9
39.65647517,-121.3495452,1980,12,128,9
39.6648397,-121.3544375,1980,12,285,9
39.825996,-123.2118567,1980,10,471,14
39.86405055,-122.5034024,1980,6,290,14
40.03010467,-121.0362971,1980,8,838,7
40.04958069,-120.9876183,1980,8,284,14
40.1043972,-121.7301856,1980,7,1075,1
40.10498281,-122.0113404,1980,7,86,14
40.11164861,-121.9763288,1980,7,359,14
40.14775897,-123.4374944,1980,7,4,2
40.15914832,-122.0722932,1980,7,1734,14
40.20522199,-122.0203708,1980,6,489,14
40.24104473,-124.0431976,1980,8,797,14
40.28533086,-123.4475251,1980,7,3,7
40.38144861,-122.9932753,1980,8,274,7
40.38148518,-123.5003486,1980,9,19,7
40.41200368,-123.5521569,1980,8,8,5
40.4401655,-123.4895119,1980,9,122,7
40.45537374,-124.3963256,1980,10,202,14
40.46657982,-124.3578563,1980,10,23,14
40.47667167,-123.5687292,1980,8,5,7
40.48009395,-124.2485164,1980,10,539,14
40.4813049,-123.572338,1980,9,4,7
40.48150732,-124.3791257,1980,10,1,14
40.48247331,-124.375402,1980,10,2,14
40.48671866,-124.3477637,1980,10,0,14
40.48797326,-124.3459886,1980,10,1,14
40.48811527,-122.1128558,1980,6,145,14
40.48927826,-124.3446241,1980,10,1,14
40.49109524,-124.3583438,1980,10,427,14
40.68506012,-122.6670652,1980,8,2414,14
40.77442321,-123.0979265,1980,8,1443,7
41.16429789,-123.904699,1980,9,0,Prescribed Burn
41.17016402,-123.9191779,1980,9,1,Prescribed Burn
41.52763837,-122.1978503,1980,4,476,5
41.59113703,-122.2964798,1980,8,44,2
41.69424239,-123.9304529,1980,10,10,7
41.71159027,-124.1435485,1980,10,6,Prescribed Burn
41.71713769,-124.145755,1980,10,61,Prescribed Burn
41.72232393,-124.1459495,1980,9,3,Prescribed Burn
41.72316272,-120.2070095,1980,9,18,1
41.72327115,-124.1461092,1980,10,1,Prescribed Burn
41.72785032,-120.2167431,1980,9,28,1
